,MEDICINES  LIST   7-6-2026,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ANTI DIABETIC - A (1-10),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DATE,STOCK FOR JUNE,COST,TOTAL STOCK,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DT,STOCK,COST,TOTAL STOCK,,,,,,,,
,86,TAB   PROCYM ,May-27,1260,,1500,,,,,,,,
,,Piroxicam 20 mg,,,,,,,,,,,,
,87,TAB  ACEFENAC CZ,Apr-27,3655,,5000,,,,,,,,
,,Aceclofenac 100mg + Paracetamol 325mg + Chlorzoxazone 250mg,,,,,,,,,,,,
,88,TAB  DOLINO SP / ACECLOGESIC SP,Aug-27,3690,,10200,,,,,,,,
,,Aceclofenac 100mg + Paracetamol 325mg +Serratiopeptidase 15mg,,,,,,,,,,,,
,89,TAB   DOLINO  P ,,3450,,0,,,,,,,,
,,Aceclofenac 100 mg + Paracetamol 325mg,,,,,,,,,,,,
,90, TAB DOLIPRANE 500 MG,Oct-26,1420,,3000,,,,,,,,
,,Paracetamol 500mg,,,,,,,,,,,,
,91,TAB -OROPYRIN 650 / PYREXIL 650,Sep-26,4000,,10000,,,,,,,,
,,Paracetamol 650mg,,,,,,,,,,,,
,92,DOLEZ CREAM  ,,635,,1000,,,,,,,,
,,"Diclofenec Sodium 1%, Linseed Oil B.P 3%, Methyl Salicylate 10%, Menthal 5%",,,,,,,,,,,,
,93,TAB  FLA 6 / CORTICON ,Mar-27,1230,,2000,,,,,,,,
,,Deflazacort 6mg,,,,,,,,,,,,
,94,TAB FLAMONA PLUS,Oct-27,1510,,8000,,,,,,,,
,,Diclofenac Potassium 50 mg+ PARACETAMOL 325 mg ,,,,,,,,,,,,
,,,,,,,,,,,,,,
,VITAMINS & DIGESTIVE - J (101-115),,,,COST,TOTAL STOCK,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DT,STOCK,,,,,,,,,,
,101,TAB  VITAFE XT,Jun-27,2900,,0,,,,,,,,
,,Ferrous Ascorbate 100 mg + Folic Acid 1.5 mg + Zinc 22.5mg,,,,,,,,,,,,
,102,CAP VITAFE Z ,Dec-26,3730,,4200,,,,,,,,
,,Iron + Folic Acid + Vitamin B12,,,,,,,,,,,,
,103,CAP.CALCIQUICK D3,Mar-27,100,,710,,,,,,,,
,,Cholecalciferol 60000 iu,,,,,,,,,,,,
,104,CAP  MULVIT ,Mar-27,10660,,15000,,,,,,,,
,,Multivitamin Capsules,,,,,,,,,,,,
,105,TAB  OSTRATE ,,"10,660",,10000,,,,,,,,
,,Calcium with VIT D3,,,,,,,,,,,,
,106,SYRUP ESCAL S,May-27,110,,0,,,,,,,,
,,Calcium with VIT D3,,,,,,,,,,,,
,107,SYRUP  ORTYZYME,Aug-26,150,,600,,,,,,,,
,,Digestive Supplement,,,,,,,,,,,,
,108,SYRUP  ZBM,Oct-26,432,,400,,,,,,,,
,,Multivitamin Syrup,,,,,,,,,,,,
,109,PEG  D POWDER  ,Jul-27,311,,0,,,,,,,,
,,Protein Powder Sugar Free,,,,,,,,,,,,
,110,SYRUP   MINAPLEX,Jan-27,109,,70,,,,,,,,
,,Protein + Fortified with B Complex and L -Lysine,,,,,,,,,,,,
,111,MULTIVITAMIN FORTE,Nov-26,6400,,6500,,,,,,,,
,,Multivitamin B Complex Tab,,,,,,,,,,,,
,,"Vitamin B1,B2,B3,B6 & Calcium Panthonate",,,,,,,,,,,,
,112,TAB BECOSHELL,Jan-27,1200,,2100,,,,,,,,
,,B- Complex with VITAMIN C,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ENT CARE  - K (116-120),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DT,STOCK,COST,TOTAL STOCK,,,,,,,,
,116,WAX O CLEAN / CLEAR WAX  EAR DROPS,Apr-27,25,,50,,,,,,,,
,,Paraidichlorobenzene 2%W/V Benzocaine 2.7%W/V Chlorbutol 5% w/vAnd Turpentine oil 15% W/V,,,,,,,,,,,,
,117,SYNFAST N  NASAL DROPS,Jun-26,25,,0,,,,,,,,
,,Xylometazoline Hydrochloride Nasal Drops IP,,,,,,,,,,,,
,118,EYEKIND DROPS / EVERFRESH DROPS,Dec-26,123,,450,,,,,,,,
,119,OFLATOPEYE DROPS ,Sep-26,37,,,,,,,,,,
,,Oflaxin Eye Drops,,,,,,,,,,,,
,120,CHLOROVUE EYE CAPS,May-27,190,,,,,,,,,,
,,Chloramphenicol Eye Ointment,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,KIDS -L (121-140),,,,,,,,,,,,,
,,,,,,,,,,,,,,
,S.No,Medicine Name,EXP DT,STOCK,COST,TOTAL STOCK,,,,,,,,
,121,PEG POWDER / BENEFIT KIDS,,117,,400,,,,,,,,
,,Protein Powder,,,,,,,,,,,,
